CODE,RSM430H1-F-20229-LEC-0101,RSM430H1-F-20229-LEC-0201,RSM430H1-F-20229-LEC-0301,RSM430H1-F-20229-LEC-0401,RSM430H1-F-20229-LEC-2001
CAP,50,50,40,50,10
1656647689,0,0,0,0,0
1656655656,0,0,0,0,0
1656693722,0,0,0,0,0
1656799543,0,0,0,0,0
1657039029,0,0,0,0,0
1657124783,0,0,0,0,0
1657129900,0,0,0,0,0
1657154826,0,0,0,0,0
1657154927,0,0,0,0,0
1657157137,0,0,0,0,0
1657169424,0,0,0,0,0
1657171604,0,0,0,0,0
1657208564,0,0,0,0,0
1657224150,0,0,0,0,0
1657394888,0,0,0,0,0
1657522639,1,0,0,1,1
1657560897,1,0,0,1,1
1657592482,1,0,0,1,1
1657598158,1,0,0,1,1
1657657520,11,42,6,24,1
1657659549,11,42,6,24,1
1657678570,11,42,6,24,1
1657700365,11,42,6,24,1
1657734871,11,42,7,24,0
1657736010,11,42,7,24,0
1657737663,11,42,7,24,0
1657744779,11,42,7,24,0
1657780708,11,42,7,24,0
1657815709,10,43,7,25,4
1657827433,10,43,7,25,4
1657841414,10,43,7,25,4
1657851506,10,43,7,25,4
1657853745,10,43,7,25,4
1657868013,10,43,7,25,4
1657911016,50,54,22,51,4
1657914736,50,54,22,51,4
1657938194,50,54,22,51,4
1657991875,50,54,24,51,4
1658011950,50,54,24,51,4
1658085371,50,54,24,51,4
1658086263,50,54,24,51,4
1658101142,50,54,24,51,4
1658101460,50,54,24,51,4
1658117879,50,54,24,51,4
1658120793,50,54,24,51,4
1658149259,50,53,25,51,4
1658163599,50,53,25,51,4
1658192570,50,53,25,51,4
1658255570,50,53,28,52,4
1658255771,50,53,28,52,4
1658265950,50,53,28,52,4
1658282790,50,53,28,52,4
1658284116,50,53,28,52,4
1658341001,50,54,28,52,4
1658425295,50,54,28,52,4
1658438086,50,54,28,52,4
1658446145,50,54,28,52,4
1658446771,50,54,28,52,4
1658459993,50,54,28,52,4
1658514122,50,53,30,52,4
1658536177,50,53,30,52,4
1658552496,50,53,30,52,4
1658614184,50,53,30,52,4
1658631640,50,53,30,52,4
1658698072,50,53,30,52,4
1658768579,50,52,30,52,4
1658788810,50,52,30,52,4
1658856123,50,52,31,52,4
1658878855,50,52,31,52,4
1658879061,50,52,31,52,4
1658965224,51,52,33,52,4
1659041771,50,52,33,52,4
1659049567,50,52,33,52,4
1659055044,50,52,33,52,4
