CODE,PHY460H1-F-20229-LEC-0101,PHY460H1-F-20229-LEC-2001
CAP,75,13
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,3,4
1657560897,3,4
1657592482,3,4
1657598158,3,4
1657657520,24,4
1657659549,24,4
1657678570,24,4
1657700365,24,4
1657734871,24,5
1657736010,24,5
1657737663,24,5
1657744779,24,5
1657780708,24,5
1657815709,23,6
1657827433,23,6
1657841414,23,6
1657851506,23,6
1657853745,23,6
1657868013,23,6
1657911016,26,6
1657914736,26,6
1657938194,26,6
1657991875,25,6
1658011950,25,6
1658085371,25,6
1658086263,25,6
1658101142,25,6
1658101460,25,6
1658117879,25,6
1658120793,25,6
1658149259,25,6
1658163599,25,6
1658192570,25,6
1658255570,25,6
1658255771,25,6
1658265950,25,6
1658282790,25,6
1658284116,25,6
1658341001,24,6
1658425295,24,6
1658438086,24,6
1658446145,24,6
1658446771,24,6
1658459993,24,6
1658514122,25,6
1658536177,25,6
1658552496,25,6
1658614184,25,6
1658631640,25,6
1658698072,25,6
1658768579,25,5
1658788810,25,5
1658856123,25,5
1658878855,25,5
1658879061,25,5
1658965224,25,5
1659041771,25,5
1659049567,25,5
1659055044,25,5
1659106101,25,5
1659116089,25,5
1659126296,25,5
1659137072,25,5
1659154611,25,5
1659160554,25,5
1659197509,24,5
1659228141,24,5
1659229848,24,5
1659252431,24,5
1659298084,24,5
