CODE,GRK101H1-F-20229-LEC-0101,GRK101H1-F-20229-LEC-0201
CAP,40,40
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,1,1
1657659549,1,1
1657678570,1,1
1657700365,1,1
1657734871,1,1
1657736010,1,1
1657737663,1,1
1657744779,1,1
1657780708,1,1
1657815709,1,1
1657827433,1,1
1657841414,1,1
1657851506,1,1
1657853745,1,1
1657868013,1,1
1657911016,3,3
1657914736,3,3
1657938194,3,3
1657991875,3,3
1658011950,3,3
1658085371,4,3
1658086263,4,3
1658101142,4,3
1658101460,4,3
1658117879,4,3
1658120793,4,3
1658149259,4,3
1658163599,4,3
1658192570,4,3
1658255570,6,6
1658255771,6,6
1658265950,6,6
1658282790,6,6
1658284116,6,6
1658341001,6,6
1658425295,6,6
1658438086,6,6
1658446145,6,6
1658446771,6,6
1658459993,6,6
1658514122,17,12
1658536177,17,12
1658552496,17,12
1658614184,16,13
1658631640,16,13
1658698072,16,13
1658768579,17,12
1658788810,17,12
1658856123,16,13
1658878855,16,13
1658879061,16,13
1658965224,17,13
1659041771,17,12
1659049567,17,12
1659055044,17,12
1659106101,17,12
1659116089,17,12
1659126296,17,12
1659137072,17,12
1659154611,17,12
1659160554,17,12
1659197509,19,11
1659228141,19,11
1659229848,19,11
1659252431,19,11
1659298084,18,11
