CODE,RSM392H1-S-20229-LEC-0101,RSM392H1-S-20229-LEC-0201,RSM392H1-S-20229-LEC-0301,RSM392H1-S-20229-LEC-0401,RSM392H1-S-20229-LEC-0501,RSM392H1-S-20229-LEC-0601,RSM392H1-S-20229-LEC-0701,RSM392H1-S-20229-LEC-0801
CAP,50,50,50,50,50,50,50,50
1656647697,0,0,0,0,0,0,0,0
1656655667,0,0,0,0,0,0,0,0
1656693731,0,0,0,0,0,0,0,0
1656799552,0,0,0,0,0,0,0,0
1657039041,0,0,0,0,0,0,0,0
1657124791,0,0,0,0,0,0,0,0
1657129909,0,0,0,0,0,0,0,0
1657154834,0,0,0,0,0,0,0,0
1657154935,0,0,0,0,0,0,0,0
1657157146,0,0,0,0,0,0,0,0
1657169433,0,0,0,0,0,0,0,0
1657171616,0,0,0,0,0,0,0,0
1657208573,0,0,0,0,0,0,0,0
1657224158,0,0,0,0,0,0,0,0
1657394896,0,0,0,0,0,0,0,0
1657522648,0,2,0,0,0,0,0,0
1657560905,0,2,0,0,0,0,0,0
1657592491,0,2,0,0,0,0,0,0
1657598166,0,2,0,0,0,0,0,0
1657657537,1,5,1,1,1,5,1,0
1657659562,1,5,1,1,1,5,1,0
1657678580,1,5,1,1,1,5,1,0
1657700377,1,5,1,1,1,5,1,0
1657734892,1,5,1,1,1,5,1,0
1657736031,1,5,1,1,1,5,1,0
1657737680,1,5,1,1,1,5,1,0
1657744796,1,5,1,1,1,5,1,0
1657780717,1,5,1,1,1,5,1,0
1657815723,1,5,1,1,1,5,1,0
1657827444,1,5,1,1,1,5,1,0
1657841424,1,5,1,1,1,5,1,0
1657851524,1,5,1,1,1,5,1,0
1657853756,1,5,1,1,1,5,1,0
1657868023,1,5,1,1,1,5,1,0
1657911025,54,62,61,11,46,31,9,17
1657914749,54,62,61,11,46,31,9,17
1657938204,54,62,61,11,46,31,9,17
1657991885,54,60,62,12,50,31,10,19
1658011963,54,60,62,12,50,31,10,19
1658085387,54,60,62,13,50,32,9,19
1658086283,54,60,62,13,50,32,9,19
1658101152,54,60,62,13,50,32,9,19
1658101473,54,60,62,13,50,32,9,19
1658117893,54,60,62,13,50,32,9,19
1658120808,54,60,62,13,50,32,9,19
1658149282,55,61,62,14,50,33,9,19
1658163609,55,61,62,14,50,33,9,19
1658192584,55,61,62,14,50,33,9,19
1658255580,55,61,62,18,50,36,9,19
1658255781,55,61,62,18,50,36,9,19
1658265969,55,61,62,18,50,36,9,19
1658282799,55,61,62,18,50,36,9,19
1658284132,55,61,62,18,50,36,9,19
1658341011,55,60,62,18,50,37,9,20
1658425310,55,60,62,18,51,37,9,20
1658438101,55,60,62,18,51,37,9,20
1658446157,55,60,62,18,51,37,9,20
1658446785,55,60,62,18,51,37,9,20
1658460004,55,60,62,18,51,37,9,20
1658514131,55,60,62,19,51,38,9,20
1658536189,55,60,62,19,51,38,9,20
1658552506,55,60,62,19,51,38,9,20
1658614194,55,59,62,20,51,39,9,20
1658631652,55,59,62,20,51,39,9,20
1658698082,55,59,62,20,51,39,9,20
1658768591,55,59,62,20,51,39,9,21
1658788819,55,59,62,20,51,39,9,21
1658856132,56,59,63,22,51,40,9,21
1658878866,56,59,63,22,51,40,9,21
1658879072,56,59,63,22,51,40,9,21
