CODE,PSY299Y1-Y-20229-LEC-0101,PSY299Y1-Y-20229-LEC-0201,PSY299Y1-Y-20229-LEC-0301,PSY299Y1-Y-20229-LEC-0401,PSY299Y1-Y-20229-LEC-0501,PSY299Y1-Y-20229-LEC-0601,PSY299Y1-Y-20229-LEC-0701,PSY299Y1-Y-20229-LEC-0801,PSY299Y1-Y-20229-LEC-0901,PSY299Y1-Y-20229-LEC-1001,PSY299Y1-Y-20229-LEC-1101,PSY299Y1-Y-20229-LEC-1201,PSY299Y1-Y-20229-LEC-1301,PSY299Y1-Y-20229-LEC-1401,PSY299Y1-Y-20229-LEC-1501,PSY299Y1-Y-20229-LEC-1601,PSY299Y1-Y-20229-LEC-1701,PSY299Y1-Y-20229-LEC-1801
CAP,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
1656647691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656655658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656693725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656799545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657039032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657124785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657129902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657154828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657154929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657157139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657169427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657171607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657208567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657224152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657394890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657522642,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657560899,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657592485,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657598160,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657657525,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657659552,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657678573,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657700368,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657734875,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657736016,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657737668,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657744785,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657780710,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657815712,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657827436,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657841417,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657851515,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657853748,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657868016,3,0,1,5,3,2,2,6,1,3,0,3,3,3,2,0,0,0
1657911019,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1657914739,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1657938197,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1657991877,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658011954,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658085375,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658086268,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658101144,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658101464,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658117882,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658120797,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658149266,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658163601,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658192573,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658255573,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658255774,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658265957,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658282792,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658284123,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658341004,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658425299,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658438090,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658446148,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658446775,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658459996,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
1658514124,3,0,1,5,3,1,2,6,1,2,0,3,3,3,2,0,0,0
