CODE,CLA204H1-F-20229-LEC-0101,CLA204H1-F-20229-LEC-0201,CLA204H1-F-20229-LEC-2001
CAP,260,300,40
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,3,1,0
1657560897,3,1,0
1657592482,3,1,0
1657598158,3,1,0
1657657520,20,161,0
1657659549,20,161,0
1657678570,20,161,0
1657700365,20,161,0
1657734871,19,168,0
1657736010,19,168,0
1657737663,19,168,0
1657744779,19,168,0
1657780708,19,168,0
1657815709,20,174,20
1657827433,20,174,20
1657841414,20,174,20
1657851506,20,174,20
1657853745,20,174,20
1657868013,20,174,20
1657911016,30,288,20
1657914736,30,288,20
1657938194,30,288,20
1657991875,32,288,21
1658011950,32,288,21
1658085371,32,290,21
1658086263,32,290,21
1658101142,32,290,21
1658101460,32,290,21
1658117879,32,290,21
1658120793,32,290,21
1658149259,31,292,21
1658163599,31,292,21
1658192570,31,292,21
1658255570,93,391,21
1658255771,93,391,21
1658265950,93,391,21
1658282790,93,391,21
1658284116,93,391,21
1658341001,94,396,21
1658425295,96,393,21
1658438086,96,393,21
1658446145,96,393,21
1658446771,96,393,21
1658459993,96,393,21
1658514122,176,404,21
1658536177,176,404,21
1658552496,176,404,21
1658614184,181,407,22
1658631640,181,407,22
1658698072,185,405,21
1658768579,189,404,21
1658788810,189,404,21
1658856123,189,404,22
1658878855,189,404,22
1658879061,189,404,22
1658965224,189,402,22
1659041771,190,402,21
1659049567,190,402,21
1659055044,190,402,21
1659106101,190,400,21
1659116089,190,400,21
1659126296,190,400,21
1659137072,190,400,21
1659154611,190,400,21
1659160554,190,400,21
1659197509,200,394,21
1659228141,200,394,21
1659229848,200,394,21
1659252431,200,394,21
1659298084,202,396,21
