CODE,STA220H1-F-20229-LEC-0101,STA220H1-F-20229-LEC-0201,STA220H1-F-20229-LEC-5101
CAP,210,210,210
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,1,0,0
1657560897,1,0,0
1657592482,1,0,0
1657598158,1,0,0
1657657520,13,11,15
1657659549,13,11,15
1657678570,13,11,15
1657700365,13,11,15
1657734871,13,10,17
1657736010,13,10,17
1657737663,13,10,17
1657744779,13,10,17
1657780708,13,10,17
1657815709,14,11,18
1657827433,14,11,18
1657841414,14,11,18
1657851506,14,11,18
1657853745,14,11,18
1657868013,14,11,18
1657911016,42,26,63
1657914736,42,26,63
1657938194,42,26,63
1657991875,43,27,61
1658011950,43,27,61
1658085371,42,27,60
1658086263,42,27,60
1658101142,42,27,60
1658101460,42,27,60
1658117879,42,27,60
1658120793,42,27,60
1658149259,43,28,61
1658163599,43,28,61
1658192570,43,28,61
1658255570,170,121,205
1658255771,170,121,205
1658265950,170,121,205
1658282790,170,121,205
1658284116,170,121,205
1658341001,170,123,211
1658425295,174,124,215
1658438086,174,124,215
1658446145,174,124,215
1658446771,174,124,215
1658459993,174,124,215
1658514122,205,141,224
1658536177,205,141,224
1658552496,205,141,224
1658614184,210,139,226
1658631640,210,139,226
1658698072,210,141,226
1658768579,210,143,225
1658788810,210,143,225
1658856123,211,142,227
1658878855,211,142,227
1658879061,211,142,227
1658965224,211,146,223
1659041771,213,145,226
1659049567,213,145,226
1659055044,213,145,226
1659106101,210,143,224
1659116089,210,143,224
1659126296,210,143,224
1659137072,210,143,224
1659154611,210,143,224
1659160554,210,143,224
1659197509,208,154,213
1659228141,208,154,213
1659229848,208,154,213
1659252431,208,154,213
1659298084,209,156,213
