CODE,EUR200Y1-F-20229-LEC-0101
CAP,88
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,0
1657659549,0
1657678570,0
1657700365,0
1657734871,0
1657736010,0
1657737663,0
1657744779,0
1657780708,0
1657815709,0
1657827433,0
1657841414,0
1657851506,0
1657853745,0
1657868013,0
1657911016,8
1657914736,8
1657938194,8
1657991875,8
1658011950,8
1658085371,8
1658086263,8
1658101142,8
1658101460,8
1658117879,8
1658120793,8
1658149259,8
1658163599,8
1658192570,8
1658255570,39
1658255771,39
1658265950,39
1658282790,39
1658284116,39
1658341001,38
1658425295,38
1658438086,38
1658446145,38
1658446771,38
1658459993,38
1658514122,39
1658536177,39
1658552496,39
1658614184,39
1658631640,39
1658698072,39
1658768579,39
1658788810,39
1658856123,40
1658878855,40
1658879061,40
1658965224,40
1659041771,40
1659049567,40
1659055044,40
