CODE,SLA100H1-F-20229-LEC-0101,SLA100H1-F-20229-LEC-0102,SLA100H1-F-20229-LEC-5101
CAP,33,33,33
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,0,0,0
1657560897,0,0,0
1657592482,0,0,0
1657598158,0,0,0
1657657520,2,1,2
1657659549,2,1,2
1657678570,2,1,2
1657700365,2,1,2
1657734871,2,1,1
1657736010,2,1,1
1657737663,2,1,1
1657744779,2,1,1
1657780708,2,1,1
1657815709,2,1,2
1657827433,2,1,2
1657841414,2,1,2
1657851506,2,1,2
1657853745,2,1,2
1657868013,2,1,2
1657911016,4,3,3
1657914736,4,3,3
1657938194,4,3,3
1657991875,4,3,3
1658011950,4,3,3
1658085371,4,3,3
1658086263,4,3,3
1658101142,4,3,3
1658101460,4,3,3
1658117879,4,3,3
1658120793,4,3,3
1658149259,4,3,3
1658163599,4,3,3
1658192570,4,3,3
1658255570,10,5,6
1658255771,10,5,6
1658265950,10,5,6
1658282790,10,5,6
1658284116,10,5,6
1658341001,10,5,6
1658425295,10,5,6
1658438086,10,5,6
1658446145,10,5,6
1658446771,10,5,6
1658459993,10,5,6
1658514122,23,6,21
