CODE,LIN101H1-F-20229-LEC-0101,LIN101H1-F-20229-LEC-5101
CAP,245,245
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,1
1657560897,1,1
1657592482,1,1
1657598158,1,1
1657657520,10,8
1657659549,10,8
1657678570,10,8
1657700365,10,8
1657734871,10,8
1657736010,10,8
1657737663,10,8
1657744779,10,8
1657780708,10,8
1657815709,10,8
1657827433,10,8
1657841414,10,8
1657851506,10,8
1657853745,10,8
1657868013,10,8
1657911016,20,17
1657914736,20,17
1657938194,20,17
1657991875,18,18
1658011950,18,18
1658085371,18,19
1658086263,18,19
1658101142,18,19
1658101460,18,19
1658117879,18,19
1658120793,18,19
1658149259,18,19
1658163599,18,19
1658192570,18,19
1658255570,69,46
1658255771,69,46
1658265950,69,46
1658282790,69,46
1658284116,69,46
1658341001,74,44
1658425295,74,45
1658438086,74,45
1658446145,74,45
1658446771,74,45
1658459993,74,45
1658514122,189,210
1658536177,189,210
1658552496,189,210
1658614184,191,215
1658631640,191,215
1658698072,192,215
1658768579,194,220
1658788810,194,220
1658856123,197,219
1658878855,197,219
1658879061,197,219
