CODE,HPS318H1-S-20229-LEC-0101,HPS318H1-S-20229-LEC-2001
CAP,82,8
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,13,0
1657659562,13,0
1657678580,13,0
1657700377,13,0
1657734892,14,0
1657736031,14,0
1657737680,14,0
1657744796,14,0
1657780717,14,0
1657815723,14,7
1657827444,14,7
1657841424,14,7
1657851524,14,7
1657853756,14,7
1657868023,14,7
1657911025,37,7
1657914749,37,7
1657938204,37,7
1657991885,38,8
1658011963,38,8
1658085387,39,8
1658086283,39,8
1658101152,39,8
1658101473,39,8
1658117893,39,8
1658120808,39,8
1658149282,39,8
1658163609,39,8
1658192584,39,8
1658255580,55,8
1658255781,55,8
1658265969,55,8
1658282799,55,8
1658284132,55,8
1658341011,56,9
1658425310,56,9
1658438101,56,9
1658446157,56,9
1658446785,56,9
1658460004,56,9
1658514131,57,9
1658536189,57,9
1658552506,57,9
1658614194,55,10
1658631652,55,10
1658698082,55,10
1658768591,55,10
1658788819,55,10
1658856132,55,10
1658878866,55,10
1658879072,55,10
1658965232,57,10
1659041782,59,10
1659049575,59,10
1659055055,59,10
1659106110,58,10
1659116097,58,10
1659126308,58,10
1659137081,58,10
1659154622,58,10
1659160562,58,10
1659197518,56,10
1659228149,56,10
1659229856,56,10
1659252439,56,10
1659298092,56,10
