CODE,SPA100Y1-Y-20229-LEC-0101,SPA100Y1-Y-20229-LEC-0201,SPA100Y1-Y-20229-LEC-0301,SPA100Y1-Y-20229-LEC-0401,SPA100Y1-Y-20229-LEC-5101,SPA100Y1-Y-20229-LEC-5102,SPA100Y1-Y-20229-LEC-5201,SPA100Y1-Y-20229-LEC-5202
CAP,75,75,75,75,75,75,75,75
1656647691,0,0,0,0,0,0,0,0
1656655658,0,0,0,0,0,0,0,0
1656693725,0,0,0,0,0,0,0,0
1656799545,0,0,0,0,0,0,0,0
1657039032,0,0,0,0,0,0,0,0
1657124785,0,0,0,0,0,0,0,0
1657129902,0,0,0,0,0,0,0,0
1657154828,0,0,0,0,0,0,0,0
1657154929,0,0,0,0,0,0,0,0
1657157139,0,0,0,0,0,0,0,0
1657169427,0,0,0,0,0,0,0,0
1657171607,0,0,0,0,0,0,0,0
1657208567,0,0,0,0,0,0,0,0
1657224152,0,0,0,0,0,0,0,0
1657394890,0,0,0,0,0,0,0,0
1657522642,0,1,0,0,0,0,0,0
1657560899,0,1,0,0,0,0,0,0
1657592485,0,1,0,0,0,0,0,0
1657598160,0,1,0,0,0,0,0,0
1657657525,0,1,0,0,0,0,0,0
1657659552,0,1,0,0,0,0,0,0
1657678573,0,1,0,0,0,0,0,0
1657700368,0,1,0,0,0,0,0,0
1657734875,0,1,0,0,0,0,0,0
1657736016,0,1,0,0,0,0,0,0
1657737668,0,1,0,0,0,0,0,0
1657744785,0,1,0,0,0,0,0,0
1657780710,0,1,0,0,0,0,0,0
1657815712,0,1,0,0,0,0,0,0
1657827436,0,1,0,0,0,0,0,0
1657841417,0,1,0,0,0,0,0,0
1657851515,0,1,0,0,0,0,0,0
1657853748,0,1,0,0,0,0,0,0
1657868016,0,1,0,0,0,0,0,0
1657911019,0,2,0,0,0,0,0,0
1657914739,0,2,0,0,0,0,0,0
1657938197,0,2,0,0,0,0,0,0
1657991877,0,2,0,0,0,0,0,0
1658011954,0,2,0,0,0,0,0,0
1658085375,0,2,0,0,0,0,0,0
1658086268,0,2,0,0,0,0,0,0
1658101144,0,2,0,0,0,0,0,0
1658101464,0,2,0,0,0,0,0,0
1658117882,0,2,0,0,0,0,0,0
1658120797,0,2,0,0,0,0,0,0
1658149266,0,2,0,0,0,0,0,0
1658163601,0,2,0,0,0,0,0,0
1658192573,0,2,0,0,0,0,0,0
1658255573,0,2,2,0,1,0,0,0
1658255774,0,2,2,0,1,0,0,0
1658265957,0,2,2,0,1,0,0,0
1658282792,0,2,2,0,1,0,0,0
1658284123,0,2,2,0,1,0,0,0
1658341004,0,2,2,0,1,0,0,0
1658425299,0,2,2,0,1,0,0,0
1658438090,0,2,2,0,1,0,0,0
1658446148,0,2,2,0,1,0,0,0
1658446775,0,2,2,0,1,0,0,0
1658459996,0,2,2,0,1,0,0,0
1658514124,42,40,37,14,58,33,28,24
1658536180,42,40,37,14,58,33,28,24
1658552499,42,40,37,14,58,33,28,24
1658614187,44,40,37,14,57,33,31,24
1658631643,44,40,37,14,57,33,31,24
1658698075,45,40,37,14,59,32,33,24
1658768582,44,40,38,14,59,32,34,24
1658788813,44,40,38,14,59,32,34,24
1658856126,45,40,38,14,59,32,34,24
1658878858,45,40,38,14,59,32,34,24
1658879064,45,40,38,14,59,32,34,24
