CODE,NEW302Y1-Y-20229-LEC-5101
CAP,29
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,6
1657659552,6
1657678573,6
1657700368,6
1657734875,6
1657736016,6
1657737668,6
1657744785,6
1657780710,6
1657815712,6
1657827436,6
1657841417,6
1657851515,6
1657853748,6
1657868016,6
1657911019,9
1657914739,9
1657938197,9
1657991877,9
1658011954,9
1658085375,9
1658086268,9
1658101144,9
1658101464,9
1658117882,9
1658120797,9
1658149266,9
1658163601,9
1658192573,9
1658255573,11
1658255774,11
1658265957,11
1658282792,11
1658284123,11
1658341004,12
1658425299,12
1658438090,12
1658446148,12
1658446775,12
1658459996,12
1658514124,14
1658536180,14
1658552499,14
1658614187,15
1658631643,15
1658698075,15
1658768582,15
1658788813,15
1658856126,17
1658878858,17
1658879064,17
