CODE,CSC263H1-F-20229-LEC-0101,CSC263H1-F-20229-LEC-0201,CSC263H1-F-20229-LEC-2001,CSC263H1-F-20229-LEC-2101
CAP,85,130,55,10
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,6,1,47,6
1657560897,6,1,47,6
1657592482,6,1,47,6
1657598158,6,1,47,6
1657657520,29,7,47,6
1657659549,29,7,47,6
1657678570,29,7,47,6
1657700365,29,7,47,6
1657734871,28,8,47,6
1657736010,28,8,47,6
1657737663,28,8,47,6
1657744779,28,8,47,6
1657780708,28,8,47,6
1657815709,28,9,57,10
1657827433,28,9,57,10
1657841414,28,9,57,10
1657851506,28,9,57,10
1657853745,28,9,57,10
1657868013,28,9,57,10
1657911016,80,28,57,10
1657914736,80,28,57,10
1657938194,80,28,57,10
1657991875,81,27,57,12
1658011950,81,27,57,12
1658085371,81,27,58,12
1658086263,81,27,58,12
1658101142,81,27,58,12
1658101460,81,27,58,12
1658117879,81,27,58,12
1658120793,81,27,58,12
1658149259,82,27,58,12
1658163599,82,27,58,12
1658192570,82,27,58,12
1658255570,87,46,58,12
1658255771,87,46,58,12
1658265950,87,46,58,12
1658282790,87,46,58,12
1658284116,87,46,58,12
1658341001,85,48,57,12
1658425295,84,48,57,12
1658438086,84,48,57,12
1658446145,84,48,57,12
1658446771,84,48,57,12
1658459993,84,48,57,12
1658514122,84,48,58,12
1658536177,84,48,58,12
1658552496,84,48,58,12
1658614184,85,49,58,11
1658631640,85,49,58,11
1658698072,85,48,58,11
1658768579,85,48,58,11
1658788810,85,48,58,11
1658856123,85,51,58,12
1658878855,85,51,58,12
1658879061,85,51,58,12
1658965224,85,50,57,12
1659041771,85,50,57,12
1659049567,85,50,57,12
1659055044,85,50,57,12
1659106101,85,50,57,12
1659116089,85,50,57,12
1659126296,85,50,57,12
1659137072,85,50,57,12
1659154611,85,50,57,12
1659160554,85,50,57,12
1659197509,88,83,57,12
1659228141,88,83,57,12
1659229848,88,83,57,12
1659252431,88,83,57,12
1659298084,87,84,58,12
