CODE,ANT100Y1-Y-20229-LEC-2501,ANT100Y1-Y-20229-LEC-5101
CAP,50,1030
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,0,0
1657560899,0,0
1657592485,0,0
1657598160,0,0
1657657525,0,4
1657659552,0,4
1657678573,0,4
1657700368,0,4
1657734875,0,4
1657736016,0,4
1657737668,0,4
1657744785,0,4
1657780710,0,4
1657815712,5,4
1657827436,5,4
1657841417,5,4
1657851515,5,4
1657853748,5,4
1657868016,5,4
1657911019,5,6
1657914739,5,6
1657938197,5,6
1657991877,5,7
1658011954,5,7
1658085375,5,7
1658086268,5,7
1658101144,5,7
1658101464,5,7
1658117882,5,7
1658120797,5,7
1658149266,6,7
1658163601,6,7
1658192573,6,7
1658255573,6,37
1658255774,6,37
1658265957,6,37
1658282792,6,37
1658284123,6,37
1658341004,6,36
1658425299,6,37
1658438090,6,37
1658446148,6,37
1658446775,6,37
1658459996,6,37
1658514124,8,661
