CODE,PSY490H1-F-20229-LEC-0101,PSY490H1-F-20229-LEC-0201
CAP,20,20
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,8,10
1657560897,8,10
1657592482,8,10
1657598158,8,10
1657657520,8,13
1657659549,8,13
1657678570,8,13
1657700365,8,13
1657734871,8,14
1657736010,8,14
1657737663,8,14
1657744779,8,14
1657780708,8,14
1657815709,7,14
1657827433,7,14
1657841414,7,14
1657851506,7,14
1657853745,7,14
1657868013,7,14
1657911016,8,18
1657914736,8,18
1657938194,8,18
1657991875,8,18
1658011950,8,18
1658085371,8,19
1658086263,8,19
1658101142,8,19
1658101460,8,19
1658117879,8,19
1658120793,8,19
1658149259,7,20
1658163599,7,20
1658192570,7,20
1658255570,7,20
1658255771,7,20
1658265950,7,20
1658282790,7,20
1658284116,7,20
1658341001,7,20
1658425295,7,20
1658438086,7,20
1658446145,7,20
1658446771,7,20
1658459993,7,20
1658514122,7,20
1658536177,7,20
1658552496,7,20
1658614184,7,20
1658631640,7,20
1658698072,7,20
1658768579,7,20
1658788810,7,20
1658856123,7,19
1658878855,7,19
1658879061,7,19
1658965224,7,19
1659041771,7,19
1659049567,7,19
1659055044,7,19
1659106101,7,18
1659116089,7,18
1659126296,7,18
1659137072,7,18
1659154611,7,18
1659160554,7,18
1659197509,9,20
1659228141,9,20
1659229848,9,20
1659252431,9,20
1659298084,8,21
