CODE,PHY224H1-F-20229-LEC-0101,PHY224H1-F-20229-LEC-0201,PHY224H1-F-20229-LEC-0301
CAP,60,60,60
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,1,0,0
1657560897,1,0,0
1657592482,1,0,0
1657598158,1,0,0
1657657520,5,2,8
1657659549,5,2,8
1657678570,5,2,8
1657700365,5,2,8
1657734871,6,2,9
1657736010,6,2,9
1657737663,6,2,9
1657744779,6,2,9
1657780708,6,2,9
1657815709,6,2,9
1657827433,6,2,9
1657841414,6,2,9
1657851506,6,2,9
1657853745,6,2,9
1657868013,6,2,9
1657911016,21,23,43
1657914736,21,23,43
1657938194,21,23,43
1657991875,22,23,42
1658011950,22,23,42
1658085371,23,23,43
1658086263,23,23,43
1658101142,23,23,43
1658101460,23,23,43
1658117879,23,23,43
1658120793,23,23,43
1658149259,24,22,43
1658163599,24,22,43
1658192570,24,22,43
1658255570,65,68,77
1658255771,65,68,77
1658265950,65,68,77
1658282790,65,68,77
1658284116,65,68,77
1658341001,65,67,77
1658425295,65,66,77
1658438086,65,66,77
1658446145,65,66,77
1658446771,65,66,77
1658459993,65,66,77
1658514122,64,65,77
1658536177,64,65,77
1658552496,64,65,77
1658614184,63,66,78
1658631640,63,66,78
1658698072,62,67,78
1658768579,63,67,79
1658788810,63,67,79
1658856123,63,68,79
1658878855,63,68,79
1658879061,63,68,79
1658965224,65,70,79
1659041771,65,72,77
1659049567,65,72,77
1659055044,65,72,77
