CODE,RSM332H1-F-20229-LEC-0101,RSM332H1-F-20229-LEC-0201,RSM332H1-F-20229-LEC-0301,RSM332H1-F-20229-LEC-0401,RSM332H1-F-20229-LEC-0501,RSM332H1-F-20229-LEC-0601,RSM332H1-F-20229-LEC-0701,RSM332H1-F-20229-LEC-5101,RSM332H1-F-20229-LEC-5201
CAP,50,50,50,50,50,50,50,50,50
1656647689,0,0,0,0,0,0,0,0,0
1656655656,0,0,0,0,0,0,0,0,0
1656693722,0,0,0,0,0,0,0,0,0
1656799543,0,0,0,0,0,0,0,0,0
1657039029,0,0,0,0,0,0,0,0,0
1657124783,0,0,0,0,0,0,0,0,0
1657129900,0,0,0,0,0,0,0,0,0
1657154826,0,0,0,0,0,0,0,0,0
1657154927,0,0,0,0,0,0,0,0,0
1657157137,0,0,0,0,0,0,0,0,0
1657169424,0,0,0,0,0,0,0,0,0
1657171604,0,0,0,0,0,0,0,0,0
1657208564,0,0,0,0,0,0,0,0,0
1657224150,0,0,0,0,0,0,0,0,0
1657394888,0,0,0,0,0,0,0,0,0
1657522639,0,0,0,0,0,0,0,0,0
1657560897,0,0,0,0,0,0,0,0,0
1657592482,0,0,0,0,0,0,0,0,0
1657598158,0,0,0,0,0,0,0,0,0
1657657520,1,1,1,10,1,3,0,2,1
1657659549,1,1,1,10,1,3,0,2,1
1657678570,1,1,1,10,1,3,0,2,1
1657700365,1,1,1,10,1,3,0,2,1
1657734871,1,1,1,10,1,3,0,2,1
1657736010,1,1,1,10,1,3,0,2,1
1657737663,1,1,1,10,1,3,0,2,1
1657744779,1,1,1,10,1,3,0,2,1
1657780708,1,1,1,10,1,3,0,2,1
1657815709,1,1,1,9,1,4,0,2,1
1657827433,1,1,1,9,1,4,0,2,1
1657841414,1,1,1,9,1,4,0,2,1
1657851506,1,1,1,9,1,4,0,2,1
1657853745,1,1,1,9,1,4,0,2,1
1657868013,1,1,1,9,1,4,0,2,1
1657911016,51,17,65,73,13,64,8,13,12
1657914736,51,17,65,73,13,64,8,13,12
1657938194,51,17,65,73,13,64,8,13,12
1657991875,50,18,65,73,13,63,9,13,13
1658011950,50,18,65,73,13,63,9,13,13
1658085371,50,18,64,73,13,62,9,14,14
1658086263,50,18,64,73,13,62,9,14,14
1658101142,50,18,64,73,13,62,9,14,14
1658101460,50,18,64,73,13,62,9,14,14
1658117879,50,18,64,73,13,62,9,14,14
1658120793,50,18,64,73,13,62,9,14,14
1658149259,50,19,63,71,15,61,9,14,15
1658163599,50,19,63,71,15,61,9,14,15
1658192570,50,19,63,71,15,61,9,14,15
1658255570,61,37,72,77,19,65,40,53,38
1658255771,61,37,72,77,19,65,40,53,38
1658265950,61,37,72,77,19,65,40,53,38
1658282790,61,37,72,77,19,65,40,53,38
1658284116,61,37,72,77,19,65,40,53,38
1658341001,61,39,72,77,18,65,42,53,39
1658425295,60,38,73,77,19,65,41,52,42
1658438086,60,38,73,77,19,65,41,52,42
1658446145,60,38,73,77,19,65,41,52,42
1658446771,60,38,73,77,19,65,41,52,42
1658459993,60,38,73,77,19,65,41,52,42
1658514122,59,39,72,77,19,64,41,53,45
